periodo_orbital,duracion_transito,profundidad,pl_radio,insolacion,st_radio,st_temperatura,st_gravedad,pl_temperatura_eq,RA,DEC,mission,object_id,label
8.10363271,3.161,887.9,2.11,52.82,0.732,4861.0,4.574,687.0,283.22141,40.421829,Kepler,K00825.01,CONFIRMED
4.71510843,2.506,417.5,1.46,108.84,0.732,4861.0,4.574,823.0,283.22141,40.421829,Kepler,K00825.02,CONFIRMED
6.365839713,2.9721,780.7,2.44,165.33,0.849,5776.0,4.554,914.0,291.14951,40.420521,Kepler,K00826.01,CONFIRMED
5.97581754,3.065,962.4,3.86,284.25,0.997,6108.0,4.471,1047.0,294.22397,40.417858,Kepler,K00827.01,FALSE POSITIVE
2.446737317,4.7211,1177.9,26.25,597.19,0.863,5764.0,4.548,1261.0,298.96112,40.862808,Kepler,K00839.01,FALSE POSITIVE
3.04033046,1.8411,10859.0,8.99,257.29,0.791,5035.0,4.519,1021.0,299.3161,40.82238,Kepler,K00840.01,CONFIRMED
15.33528675,3.897,3081.4,5.0,32.67,0.817,5251.0,4.581,610.0,292.23676,41.08588,Kepler,K00841.01,CONFIRMED
7.95825328,4.377,50.0,1.06,314.15,1.402,5847.0,4.191,1074.0,297.02826,48.208611,Kepler,K00117.04,CONFIRMED
31.33046135,5.176,5073.8,6.5,12.61,0.817,5251.0,4.581,481.0,292.23676,41.08588,Kepler,K00841.02,CONFIRMED
3.9043425,3.831,16228.0,12.28,351.05,0.898,5810.0,4.526,1104.0,294.05676,40.549679,Kepler,K00831.01,FALSE POSITIVE
9.286358079,3.49949,44791.0,17.61,95.03,0.821,5670.0,4.523,796.0,294.74396,40.53392,Kepler,K00832.01,FALSE POSITIVE
3.951405455,2.1862,2453.9,31.44,388.71,0.869,6046.0,4.539,1133.0,295.50439,40.505489,Kepler,K00833.01,FALSE POSITIVE
23.65369415,8.2183,3341.8,7.89,67.65,1.384,5739.0,4.191,731.0,287.89713,40.637821,Kepler,K00834.01,CONFIRMED
13.23352214,6.7372,504.6,3.06,146.67,1.384,5739.0,4.191,888.0,287.89713,40.637821,Kepler,K00834.02,CONFIRMED
6.15560285,4.9843,285.0,2.32,406.94,1.384,5739.0,4.191,1146.0,287.89713,40.637821,Kepler,K00834.03,CONFIRMED
2.090811305,3.388,115.9,1.62,1718.04,1.384,5739.0,4.191,1642.0,287.89713,40.637821,Kepler,K00834.04,CONFIRMED
3.180027898,3.5797,120.3,1.53,1066.86,1.402,5847.0,4.191,1458.0,297.02826,48.208611,Kepler,K00117.03,CONFIRMED
50.4467417,7.159,370.3,2.67,24.64,1.384,5739.0,4.191,568.0,287.89713,40.637821,Kepler,K00834.05,CONFIRMED
11.76307164,2.9076,1037.3,2.35,33.99,0.756,4959.0,4.603,616.0,294.20215,40.66341,Kepler,K00835.01,CONFIRMED
56.2279271,3.57,862.7,2.37,4.22,0.756,4959.0,4.603,366.0,294.20215,40.66341,Kepler,K00835.02,CONFIRMED
2.384052875,3.0918,1268.1,17.06,244.87,0.701,4794.0,4.58,1010.0,299.64285,40.691238,Kepler,K00836.01,FALSE POSITIVE
7.953547,2.6312,875.4,2.25,55.37,0.779,4768.0,4.536,696.0,291.15878,40.750271,Kepler,K00837.01,CONFIRMED
4.14451656,2.3421,391.8,1.48,132.08,0.779,4768.0,4.536,864.0,291.15878,40.750271,Kepler,K00837.02,CONFIRMED
4.859386384,2.2757,6044.3,38.33,364.23,0.988,6072.0,4.47,1114.0,292.21436,40.759762,Kepler,K00838.01,FALSE POSITIVE
10.526294577,2.5211,9768.0,8.24,61.16,0.793,5386.0,4.553,713.0,293.87811,41.66177,Kepler,K00850.01,CONFIRMED
4.583520948,2.7055,3812.1,5.39,274.98,0.877,5815.0,4.54,1038.0,299.18686,41.74268,Kepler,K00851.01,CONFIRMED
3.76181843,3.5176,510.6,2.66,372.62,0.949,5653.0,4.472,1121.0,283.31638,41.83712,Kepler,K00852.01,CONFIRMED
8.20396958,2.9667,1024.4,3.01,71.5,0.826,5015.0,4.499,742.0,286.5657,41.808399,Kepler,K00853.01,CONFIRMED
14.49645186,4.016,647.5,3.01,33.48,0.826,5015.0,4.499,613.0,286.5657,41.808399,Kepler,K00853.02,CONFIRMED
6.54626149,2.75,655.9,2.19,101.78,0.817,5251.0,4.581,810.0,292.23676,41.08588,Kepler,K00841.03,CONFIRMED
12.71809866,3.0957,1149.4,2.31,23.6,0.686,4702.0,4.592,562.0,292.91312,41.060921,Kepler,K00842.01,CONFIRMED
36.06588163,4.3246,1563.8,2.64,5.88,0.686,4702.0,4.592,397.0,292.91312,41.060921,Kepler,K00842.02,CONFIRMED
4.190425659,2.8589,2877.4,6.21,547.9,1.135,6073.0,4.392,1234.0,293.49661,41.137589,Kepler,K00843.01,CONFIRMED
